Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Buyer_Aggression,Avg_Trade_Size,Taker_Price_Premium,EMA_9,EMA_21,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,Return_Lag_1,Return_Lag_2,Return_Lag_3,Rolling_Vol_14,Hour,DayOfWeek,Target
2018-01-02 09:00:00,13342.97,13523.46,13326.1,13452.0,511.54277,2018-01-02 09:59:59.999,6875573.05051263,4383,296.566815,3988157.79717846,0.5797497929645258,0.11671064795801962,-4.245243020668568,13350.933838961373,13368.79323250713,42.09861731468376,-4.010561206101556,-10.588927360072274,6.578366153970718,267.93907979937194,-0.001267331184890974,0.006564584436609122,0.006761626648540409,0.011576979023230162,9.0,1.0,1
2018-01-02 10:00:00,13460.0,13617.28,13401.6,13560.0,654.454591,2018-01-02 10:59:59.999,8861013.78617446,5114,393.745927,5332072.80118615,0.6016397965798669,0.1279731308173641,-18.08772725120798,13392.747071169098,13386.175665915573,45.39194933340814,12.928239152533934,5.079898398850572,7.848340753683361,264.20628838513113,0.009448382833974645,-0.001267331184890974,0.006564584436609122,0.011338133518879823,10.0,1.0,0
2018-01-02 12:00:00,13490.0,13590.0,13450.46,13489.04,671.205943,2018-01-02 12:59:59.999,9081599.37166522,5411,444.767026,6018779.07792742,0.6626386888234093,0.12404471317686196,43.39097191161818,13427.566125548225,13404.107492492207,43.63403302201472,26.065390754898544,12.554494027178087,13.510896727720457,249.18251396473056,-0.005162241887905594,0.00802854594112401,0.009448382833974645,0.011322864331916717,12.0,1.0,1
2018-01-02 13:00:00,13489.04,13875.0,13470.41,13864.98,1036.83633,2018-01-02 13:59:59.999,14205791.26338804,9538,622.888065,8534968.66083937,0.6007583328026324,0.10870584294401343,-162.7289208444381,13515.048900438582,13446.004993174734,54.459360851365425,60.143282620583705,37.305908714290595,22.83737390629311,260.28304868153555,-7.116382505556462e-05,-0.005162241887905594,0.00802854594112401,0.013355961577189109,13.0,1.0,0
2018-01-02 15:00:00,13661.21,13739.89,13510.0,13690.03,952.656508,2018-01-02 15:59:59.999,12987036.86897015,6816,571.441429,7790917.1990343,0.59983994671876,0.13976768016431926,-56.23167237769485,13573.941296280696,13486.238258822093,49.7343985805537,79.24650505925274,37.556259410665085,41.690245648587656,258.41568993458935,-0.01446666349320369,0.027870033745915013,-7.116382505556462e-05,0.011571701396667048,15.0,1.0,0
2018-01-02 16:00:00,13690.02,13842.88,13584.99,13590.02,1020.856756,2018-01-02 16:59:59.999,14041138.65294967,7866,594.777166,8182147.7450446,0.5826254883501011,0.12978092499364352,166.6408349665544,13577.157037024559,13495.672962565539,47.066000229638135,77.48727592417708,28.637624220471544,48.84965170370554,258.37814065354723,0.0018756769415415597,-0.01446666349320369,0.027870033745915013,0.011644503804878902,16.0,1.0,1
2018-01-02 17:00:00,13599.99,13799.65,13503.0,13780.0,817.501105,2018-01-02 17:59:59.999,11196714.5325901,6899,471.88292,6465341.62308624,0.5772260332296432,0.11849559428902741,-78.84374054852378,13617.725629619648,13521.52087505958,52.301386042791115,90.38101633488077,33.22509170494018,57.155924629940586,261.1118448925796,-0.00730531635065812,0.0018756769415415597,-0.01446666349320369,0.011540146412116878,17.0,1.0,1
2018-01-02 18:00:00,13789.98,14750.0,13755.43,14580.0,1573.60355,2018-01-02 18:59:59.999,22564808.98257459,14697,880.498908,12616910.44513667,0.5595430361096987,0.10706971150574948,-250.72561873447557,13810.18050369572,13617.746250054162,67.070769114302,163.27063043061935,84.891764640543,78.37886579007635,313.5017131145382,0.013979376042124958,-0.00730531635065812,0.0018756769415415597,0.017684871937242407,18.0,1.0,1
2018-01-02 20:00:00,14710.02,15160.31,14710.0,14751.0,1150.528492,2018-01-02 20:59:59.999,17214836.6546723,10591,669.416989,10018578.79875552,0.5818343427865322,0.1086326590501369,215.12569352571336,14145.95552236526,13812.918388474514,69.27847403604781,282.3603634477204,138.8134279866572,143.54693546106319,368.37499753243344,0.010476680384087889,0.05805515239477499,0.013979376042124958,0.01774248562471575,20.0,1.0,0
2018-01-02 21:00:00,14751.0,14944.99,14544.0,14692.4,906.843821,2018-01-02 21:59:59.999,13359878.95630231,6947,499.011064,7357750.91935592,0.5502723318440077,0.13053747243414424,52.26489856409353,14255.244417892209,13892.871262249559,67.49466276823499,314.9406781909329,137.11499418389576,177.82568400703713,370.7046405658311,0.0012387368278155009,0.010476680384087889,0.05805515239477499,0.018020457648815803,21.0,1.0,1
